RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31-12-2023,31-03-2024,30-06-2024
84607,3929,60605,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2313.407396,2347.239745,2443.239867
84825,4011,61107,zip,IL,IL,Rockford,"Rockford, IL",Winnebago County,1264.176524,1291.442869,1250.960622
84434,4016,60189,zip,IL,IL,Wheaton,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2309.602596,2374.950185,2398.629364
85642,4017,62703,zip,IL,IL,Springfield,"Springfield, IL",Sangamon County,928.8254476,966.3993585,1015.562548
85071,4040,61604,zip,IL,IL,Peoria,"Peoria, IL",Peoria County,1085.681162,1111.586031,1114.519243
84701,4068,60914,zip,IL,IL,Bourbonnais,"Kankakee, IL",Kankakee County,,1389.119867,1425.428791
85350,4174,62226,zip,IL,IL,Belleville,"St. Louis, MO-IL",Saint Clair County,942.8271709,999.7726664,1005.163752
85819,4184,62959,zip,IL,IL,Marion,"Carbondale-Marion, IL",Williamson County,888.9753674,915.9265325,926.7144108
84567,4204,60538,zip,IL,IL,Oswego,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,,,
399602,4220,60124,zip,IL,IL,Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,2183.950055,2329.169241,2321.211493
84623,4224,60621,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1415.963285,1408.084337,1460.068352
84406,4296,60156,zip,IL,IL,Lake in the Hills,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,,2216.911552,2328.407457
85079,4298,61614,zip,IL,IL,Peoria,"Peoria, IL",Peoria County,,,1104.822279
85180,4463,61832,zip,IL,IL,Danville,"Danville, IL",Vermilion County,687.0532346,713.836349,879.5713703
84827,4504,61109,zip,IL,IL,Rockford,"Rockford, IL",Winnebago County,,,1035.447516
84319,4650,60061,zip,IL,IL,Vernon Hills,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,2306.424539,2366.95682,2394.81036
84315,4699,60053,zip,IL,IL,Morton Grove,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
84409,4741,60160,zip,IL,IL,Melrose Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
84588,4955,60560,zip,IL,IL,Yorkville,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,,2256.933489,2476.144839
84695,4959,60827,zip,IL,IL,Riverdale,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1191.72584,1177.085414,1174.687008
85160,5027,61801,zip,IL,IL,Urbana,"Champaign-Urbana, IL",Champaign County,1263.046702,1371.964457,1395.256688
84587,5033,60559,zip,IL,IL,Westmont,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,1545.735617,1573.002537,1666.317206
84403,5103,60153,zip,IL,IL,Maywood,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,
84418,5222,60172,zip,IL,IL,Roselle,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,,,
84538,5224,60502,zip,IL,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2231.918487,2291.741398,2262.126967
84821,5278,61103,zip,IL,IL,Rockford,"Rockford, IL",Winnebago County,946.2183962,912.9976992,962.2628513
84589,5307,60561,zip,IL,IL,Darien,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,,2008.403146,2040.600958
85161,5392,61802,zip,IL,IL,Urbana,"Champaign-Urbana, IL",Champaign County,,1189.205912,1237.673367
84424,5440,60178,zip,IL,IL,Sycamore,"Chicago-Naperville-Elgin, IL-IN-WI",DeKalb County,,,
84494,5477,60443,zip,IL,IL,Matteson,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,,2478.648355
399713,5523,60642,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2346.131575,2444.121893,2517.824465
