id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,neighbourhood_normalized,zip_code
1097092588449481499,Lincoln park studio apt1,23612069,Tj,,Lincoln Park,41.92737731353704,-87.63908547862266,Entire home/apt,118.0,1,7,2024-05-12,2.02,18,222,7,R23000106456,lincoln park,80204
1098781427379131975,Urban Retreat 3 Bedroom Apt.,563808979,Kevin,,New City,41.8077815,-87.64443279999999,Entire home/apt,135.0,2,3,2024-04-21,0.88,1,37,3,R24000114581,new city,60609
1099361241199819767,Amazing historic campus mansion!,143937691,Caryl,,Hyde Park,41.7998733936604,-87.60005792841987,Entire home/apt,479.0,2,1,2024-04-02,0.37,6,280,1,R24000114394,hyde park,63107
1099375735787379820,"3BR Oasis, Gym, Workspace, Quiet Location",175087843,Ella,,Dunning,41.947556050556926,-87.82688608007017,Entire home/apt,530.0,1,1,2024-04-16,0.45,5,341,1,R23000109215,dunning,60634
1099388853941902468,3BR UChicago Medical Midway Museums Large Comfy,100179,Kenneth,,Woodlawn,41.782715859308745,-87.61185517585727,Entire home/apt,,2,2,2024-04-10,0.63,9,0,2,R22000086175,woodlawn,97211
1100875951200803292,"Stylish Chicago Retreat, Walk to Loyola University",121719854,Evolve,,Edgewater,41.995215895551205,-87.6568241458508,Entire home/apt,188.0,32,0,,,33,252,0,,edgewater,78248
1102992341826775127,Super comfy 1 bed by the lake,9463510,Eliana,,Rogers Park,42.011708,-87.6644734,Entire home/apt,52.0,32,0,,,1,75,0,,rogers park,60626
1104759221892096365,Edgewater modern studio | near train,316480624,Joseph,,Edgewater,41.98771,-87.66782,Entire home/apt,115.0,1,5,2024-06-01,1.55,16,232,5,R22000073811,edgewater,78248
1105823246504534863,"Chicago Gem, 4BD/2BA Retreat In Vibrant Avondale!",30482715,Sean,,Avondale,41.9370743,-87.7248999,Entire home/apt,349.0,3,6,2024-06-16,1.86,6,190,6,R22000080347,avondale,95824
1105872383597754881,Spacious Unit w/2-bedroom& FREE parking-AU,5339120,Ishin,,Lincoln Park,41.91723650402452,-87.63656160955861,Entire home/apt,332.0,1,7,2024-06-02,2.28,5,311,7,R23000102185,lincoln park,80204
1106629556999320546,Modern & Spacious 3BR Apt with In-Unit Laundry,166918192,Sara,,Hyde Park,41.80031067336102,-87.59035155410419,Entire home/apt,171.0,1,11,2024-06-02,3.33,10,241,11,R24000117566,hyde park,63107
