id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,neighbourhood_normalized,zip_code,31-12-2023,31-03-2024,30-06-2024
30088902,Chicago Speakeasy-Style Loft Space (Room 4A),51668477,Michael,Near North Side,41.88893,-87.63022,Private room,,1,408,9,233,73,near north side,60610,100,100,120
30089490,Cozy Urban Garden Apartment,166472628,Marta,Jefferson Park,41.97932,-87.77409,Entire home/apt,,1,199,1,31,30,jefferson park,90018,81,70,76
30121968,"Walk to Wrigley and nightlife, Sleeps 8",37880875,Helen,North Center,41.94708,-87.67556,Entire home/apt,,32,57,1,45,3,north center,60657,128,157,157
30175919,Garden Oasis,22859587,Susan,North Center,41.9591,-87.6759,Entire home/apt,,3,89,1,94,29,north center,60657,111,104,123
30175946,Traveler's Dream - 1 bed in a shared bedroom,57387860,Freehand,Near North Side,41.8923,-87.627335,Hotel room,,1,58,21,282,14,near north side,60610,23,33,79
30204360,Peaceful Portage Park Apartment,51605018,Aleksandra,Portage Park,41.95619,-87.77117,Entire home/apt,,1,363,1,271,57,portage park,60634,105,90,103
30235492,Lovely 4-bedroom rental unit with free parking.,107486238,Ralph,East Garfield Park,41.87308,-87.71586,Entire home/apt,,2,18,1,133,12,east garfield park,60612,150,150,156
30268784,Newly remodeled 1BR! Only 5 MIN walk to BLUE LINE!,42235579,Tyler,West Town,41.91218,-87.68174,Entire home/apt,,2,255,1,67,71,west town,60612,103,124,170
30295107,"Clean, Cozy, Comfortable Studio Near Downtown",115855112,Ben & Sam,Bridgeport,41.83302,-87.64656,Entire home/apt,,4,186,1,18,30,bridgeport,60616,61,80,138
30316138,The Posh Apt. Mins to Downtown & Hyde Park,223262080,Kayode,Grand Boulevard,41.81781,-87.61329,Entire home/apt,,3,148,5,149,20,grand boulevard,60615,160,100,160
30350238,Cozy Bucktown/Logan Square Close to everything,227806313,Luisa,Logan Square,41.92409,-87.68815,Entire home/apt,,3,106,1,53,13,logan square,19103,178,175,197
30365762,Cozy Nest in Chicago's Vibrant Lincoln Square,74620805,Almir And Majda,Lincoln Square,41.96746,-87.68515,Entire home/apt,,3,131,2,106,23,lincoln square,60625,209,200,349
30492373,Wrigley Residence in Iconic Wrigley Rooftop,544270,Noah,Lake View,41.94868,-87.65625,Entire home/apt,,1,176,2,218,36,lake view,60657,112,95,331
30532358,Couch Surf /Flex Check-in/ Hold Luggage /Shuttle,691000,Nonya,West Englewood,41.77595,-87.65479,Shared room,,33,4,15,360,0,west englewood,60636,25,25,25
30537269,Bright 2bd/1ba btw Downtown & O'Hare,459291,Silvia,Irving Park,41.94827,-87.71429,Entire home/apt,,4,76,2,249,15,irving park,60618,175,150,175
