id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,neighbourhood_normalized,zip_code,31-12-2023,31-03-2024,30-06-2024
2384,Hyde Park - Walk to The University of Chicago,2613,Rebecca,Hyde Park,41.7879,-87.5878,Private room,,3,242,1,328,23,hyde park,63107,70,86,125
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,West Town,41.90166,-87.68021,Entire home/apt,,2,527,1,297,32,west town,60612,90,90,104
10945,The Biddle House (#1),33004,At Home Inn,Lincoln Park,41.91196,-87.63981,Entire home/apt,,4,93,5,196,26,lincoln park,80204,106,114,188
12140,Lincoln Park Guest House,46734,Shay And Robert,Lincoln Park,41.92357,-87.64947,Private room,,2,16,1,151,1,lincoln park,80204,329,329,339
71930,"Rest, Relax and Explore",334241,Michael And Veronica,West Town,41.89615,-87.67934,Private room,,3,113,1,231,9,west town,60612,96,76,95
94450,Comfy Garden Suite in Andersonville,504470,Mark,Edgewater,41.9796,-87.66512,Entire home/apt,,3,25,1,41,14,edgewater,78248,111,110,120
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,North Center,41.94342,-87.68121,Entire home/apt,,32,77,23,339,11,north center,60657,198,222,257
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,Lincoln Park,41.91289,-87.63864,Entire home/apt,,32,86,23,299,0,lincoln park,80204,298,334,326
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,Logan Square,41.92918,-87.70219,Entire home/apt,,2,661,1,197,49,logan square,19103,200,182,246
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,Pullman,41.68843,-87.60712,Entire home/apt,,32,318,3,301,13,pullman,60628,100,80,70
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,Pullman,41.68954,-87.60786,Entire home/apt,,32,46,3,117,1,pullman,60628,50,40,30
220333,Pullman School House Apartment - monthly rental,1019125,Jb,Pullman,41.68912,-87.60725,Entire home/apt,,32,5,3,316,2,pullman,60628,100,90,70
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,Logan Square,41.92589,-87.69737,Private room,,2,29,1,54,7,logan square,19103,88,91,91
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,Irving Park,41.95758,-87.7271,Private room,,2,175,2,129,18,irving park,60618,60,60,65
250354,Close to Michigan Ave and parks,1311953,Ronald,Near South Side,41.85923,-87.62198,Entire home/apt,,180,35,1,358,0,near south side,60616,170,170,170
264547,Steps From the Best Chicago Offers,1387948,Dominic,Near West Side,41.88413,-87.64315,Entire home/apt,,32,63,1,362,0,near west side,60612,163,191,191
289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,Edgewater,41.97806,-87.65676,Private room,,32,68,1,273,2,edgewater,78248,32,32,32
345075,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",1746524,Patricia,Kenwood,41.80774,-87.59459,Private room,,2,285,1,274,12,kenwood,55405,100,115,115
350347,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Mi Casa Su Casa Vacations,Lake View,41.94107,-87.65492,Entire home/apt,,3,750,1,255,61,lake view,60657,194,161,211
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,West Town,41.89629,-87.65704,Entire home/apt,,2,293,2,306,14,west town,60612,234,222,292
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,West Town,41.88947,-87.66933,Entire home/apt,,21,218,1,22,7,west town,60612,96,126,126
464581,"Large, Private Logan Square Studio",2308792,Jonathan,Logan Square,41.92518,-87.69549,Entire home/apt,,32,646,1,305,2,logan square,19103,61,61,96
507517,Private Lincoln Square Garden Apt,2501182,Nate,Lincoln Square,41.96678,-87.6973,Entire home/apt,,2,407,1,147,23,lincoln square,60625,101,101,101
542067,Logan Square Modern Vintage Garden,2273840,Sarah,Logan Square,41.93142,-87.69989,Entire home/apt,,32,303,1,234,13,logan square,19103,150,125,150
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,Lincoln Square,41.96528,-87.6831,Private room,,32,53,2,117,2,lincoln square,60625,20,50,60
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,Edgewater,41.99688,-87.66449,Private room,,3,125,2,315,11,edgewater,78248,70,70,70
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,Lake View,41.94256,-87.67171,Entire home/apt,,4,94,1,5,9,lake view,60657,286,226,286
662034,Edgebrook bdr by golf course,2824576,Jeff,Forest Glen,41.99405,-87.75746,Private room,,2,93,2,338,4,forest glen,60630,70,70,75
697634,"2 BD Condo by downtown,park,lake",3574415,Marv,Near North Side,41.90437,-87.6335,Entire home/apt,,32,160,2,263,2,near north side,60610,99,97,118
726376,"Spacious Studio, Amazing Location!",2658212,James,Lake View,41.93903,-87.65196,Entire home/apt,,2,821,3,33,60,lake view,60657,78,95,167
739495,Lovely 2 bedroom in Lincoln Square,3867687,Janet,Lincoln Square,41.9765,-87.68144,Entire home/apt,,7,216,1,263,9,lincoln square,60625,150,150,228
755701,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,Logan Square,41.93115,-87.71836,Entire home/apt,,32,28,4,281,4,logan square,19103,86,80,84
863120,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,Lincoln Park,41.92218,-87.66079,Private room,,2,154,1,107,15,lincoln park,80204,85,85,85
903996,Private Entrance/Steam Room Ensuite,4019426,Colleen,Logan Square,41.92708,-87.71212,Private room,,32,144,1,140,0,logan square,19103,110,110,110
929914,Charming renovated Victorian apartment in Old Town,5007980,Lynn,Lincoln Park,41.91241074,-87.63896942,Entire home/apt,,2,486,1,9,45,lincoln park,80204,128,128,346.5584416
931105,Modern Guest Bedroom Room in Designers House,5015135,Samantha,East Garfield Park,41.88538,-87.69801,Private room,,32,22,1,362,0,east garfield park,60612,136,136,136
960326,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,West Town,41.89602,-87.65659,Entire home/apt,,32,436,21,328,42,west town,60612,185,220,323
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,Near West Side,41.86801,-87.67877,Entire home/apt,,32,41,1,55,1,near west side,60612,133,133,133
979841,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,Rogers Park,42.00588,-87.66853,Private room,,2,323,4,310,39,rogers park,60626,89,89,89
979926,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,Rogers Park,42.00477,-87.66842,Private room,,2,352,4,320,38,rogers park,60626,79,79,79
979942,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,Rogers Park,42.00378,-87.66807,Private room,,2,322,4,315,28,rogers park,60626,79,79,79
983640,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,Rogers Park,42.00456,-87.67058,Entire home/apt,,2,274,4,291,29,rogers park,60626,179,179,179
1020810,Beautiful Condo in Chicago,3843347,Andrea,Near North Side,41.89395,-87.62593,Entire home/apt,,32,39,3,188,2,near north side,60610,85,85,85
1171860,"Lincoln Park Studio, Great Value!",2658212,James,Lincoln Park,41.92655,-87.64226,Entire home/apt,,2,706,3,35,40,lincoln park,80204,78,75,120
1185749,3 Bedroom Vintage Hideaway In Little Italy/uic,1664593,Matt And Christy,Near West Side,41.87033,-87.6826,Entire home/apt,,3,367,1,61,17,near west side,60612,240,167,321
1195259,Wicker Park - Garden At The Heart of It All,2899484,Jason,West Town,41.90914,-87.67859,Entire home/apt,,10,214,2,239,5,west town,60612,138,138,139
1242709,Beautiful/Large SE Evanston Apt,1254363,Mark,Rogers Park,42.01938,-87.67985,Entire home/apt,,7,16,1,342,0,rogers park,60626,149,149,149
1304049,Private room near UIC Medical Dist.,7089017,Sharon,Near West Side,41.86967,-87.68284,Private room,,32,123,1,321,3,near west side,60612,103,103,103
1321332,Lincoln Park Single Family Home,946954,Jeff,Lincoln Park,41.93089,-87.66946,Entire home/apt,,2,114,1,290,3,lincoln park,80204,761,278,727
1356190,Logan Square Vintage Deluxe Private Suite & Bath,3069675,Gabrielle,Logan Square,41.91984,-87.68962,Private room,,3,444,1,260,40,logan square,19103,90,94,93
1361421,Wrigley Hostel - Queen Bed Room,7391164,Wrigley Hostel,Lake View,41.9459,-87.65461,Private room,,32,40,4,115,0,lake view,60657,120,120,98.83333333
1392594,"Bright open house, garden & deck",7528098,Eileen,Uptown,41.96909,-87.67407,Entire home/apt,,4,30,1,202,3,uptown,92103,175,175,175
1461451,02b. Twin bed in Coed Space,2907254,Joseph,West Ridge,42.01653,-87.68788,Shared room,,1,195,14,161,12,west ridge,60659,28,17,20
1502674,The Biddle House (#2),33004,At Home Inn,Lincoln Park,41.91175,-87.63834,Entire home/apt,,4,125,5,173,31,lincoln park,80204,146,165,216
1554433,Charming Home in Chicago,6088938,Eric,Beverly,41.71554,-87.67197,Private room,,32,199,2,300,1,beverly,60655,49,49,49
1573401,Spacious & serene in hip spot. Sleeps 4.,8186262,April,Lower West Side,41.85592,-87.66249,Private room,,2,393,2,52,59,lower west side,60608,48,50,63
1584422,Magic Factory Loft 2West,2810938,Carole,Near North Side,41.90532,-87.64761,Entire home/apt,,3,47,3,303,11,near north side,60610,514,380,440
1591370,Cozy Northside Apt near trains & free St. parking,8489460,Holly + Mark,Rogers Park,42.01177,-87.67758,Entire home/apt,,2,193,1,256,15,rogers park,60626,129,120,166
1614802,"Contemporary, private suite w fireplace",8595700,Carin,Lake View,41.93455,-87.66141,Entire home/apt,,4,365,1,247,30,lake view,60657,68,69,72
1620098,Bedroom + apartment in Lincoln Park,8619275,Leszek,Lincoln Park,41.92817,-87.64282,Private room,,1,71,1,83,7,lincoln park,80204,150,150,155
1663673,iKlektik House Chicago / Cardinal,8813383,Mindy + Tony,West Town,41.89322,-87.68572,Entire home/apt,,2,409,3,190,37,west town,60612,96,100,139
1759266,Lakeview / Lincoln Park Vintage,9249272,Mark,Lake View,41.93396,-87.65897,Entire home/apt,,2,83,1,296,15,lake view,60657,173,181,232
1759389,Casa Corazón (W) near Rush / UIC,1559157,Amanda,Lower West Side,41.84801,-87.68127,Private room,,2,156,3,207,12,lower west side,60608,82,82,82
1769731,1 Bedroom Across from Wrigley Field MVP Suite,9297431,Inn At Wrigleyville,Lake View,41.94747,-87.65417,Entire home/apt,,1,26,6,99,9,lake view,60657,279,179,350
1772920,3 Bedroom Across from Wrigley Field AllStar Suite,9297431,Inn At Wrigleyville,Lake View,41.94842,-87.65307,Entire home/apt,,1,17,6,115,4,lake view,60657,565,379,565
1773021,4 Bedroom Across from Wrigley Field Stadium Suite,9297431,Inn At Wrigleyville,Lake View,41.94774,-87.65421,Entire home/apt,,1,37,6,114,6,lake view,60657,765,479,893
1773025,4 Bedroom Across from Wrigley Field Legend Suite,9297431,Inn At Wrigleyville,Lake View,41.9475,-87.6542,Entire home/apt,,1,29,6,120,6,lake view,60657,765,479,965
1810118,LARGE 1BR/Private Full Bath near U of Chicago,9483312,Ryan,Woodlawn,41.77738,-87.60041,Private room,,4,368,2,108,8,woodlawn,97211,79,79,79
1837153,Musician's Quarters,9601147,Chester,Hyde Park,41.79989,-87.59432,Entire home/apt,,32,59,1,290,1,hyde park,63107,115,73,112
1854000,Elegant Lakefront Near Wrigley Field Lake Michigan,9471604,James,Lincoln Park,41.93264,-87.64311,Entire home/apt,,32,155,1,365,0,lincoln park,80204,364,364,364
1921670,The Avondale Garden Unit,9959757,Jedidiah,Irving Park,41.94663,-87.70783,Entire home/apt,,2,331,9,282,32,irving park,60618,77,70,103
1931880,Charming Mid-Century Designed Apt in E Lakeview,4995578,George,Lake View,41.93564,-87.6424,Entire home/apt,,32,1,1,70,0,lake view,60657,125,125,125
1939467,"Rm 1, Quiet&Cozy in Old Irving - NonSmokers, only",8292749,Ilya,Irving Park,41.95998186,-87.73006782,Private room,,32,4,2,55,4,irving park,60618,37,37,37
1944802,High Floor South Loop GYM POOL,3965428,Dominic,Near South Side,41.85487,-87.62024,Entire home/apt,,140,13,55,365,0,near south side,60616,200,200,200
2011301,Bucktown - Great Northside Location,5166793,Carrie & Brad,Logan Square,41.92118,-87.68678,Private room,,2,286,2,67,14,logan square,19103,47,49,89
2062638,Downtown Urban Oasis 3BR + Huge Deck & Parking!,1876597,The Adventurers,West Town,41.89821,-87.6572,Entire home/apt,,2,216,2,320,15,west town,60612,224,254,258
2103986,Mid-Century Townhouse in Lakeview,1838943,Sunnie/Randolph,Lake View,41.93338,-87.63913,Private room,,1,160,1,174,12,lake view,60657,75,75,75
2139407,Urban Farm Fun!  Walk to Metra/CTA,10917550,Nicky,Humboldt Park,41.88849,-87.70648,Entire home/apt,,1,584,5,282,47,humboldt park,60651,68,69,107
2189522,Casa Corazón (E) near Rush / UIC,1559157,Amanda,Lower West Side,41.84828,-87.68021,Private room,,2,207,3,208,23,lower west side,60608,82,82,82
2298310,"Hyde Park / Kenwood, U of Chicago. Free bike.",1385332,Patt,Kenwood,41.80239,-87.60244,Private room,,2,58,20,320,5,kenwood,55405,38,42,74
2305230,Wrigley Hostel - 10 Bed Shared Room,7391164,Wrigley Hostel,Lake View,41.94594,-87.65431,Shared room,,1,420,4,193,15,lake view,60657,121,30,30
2396340,The Woodsman's Gallery at OHC - No Cleaning Fee!,5228189,Matthew,West Town,41.89634,-87.65608,Entire home/apt,,32,509,21,323,39,west town,60612,182,214,314
2479175,Cozy Garden-Subterranean Apartment,12681444,Jenny,Lincoln Square,41.96316,-87.69208,Entire home/apt,,2,273,1,74,23,lincoln square,60625,80,79,86
2499596,Vintage Apartment in the Heart of the Ukrainian Village,2768314,Jason,West Town,41.90006,-87.68096,Entire home/apt,,12,185,2,119,9,west town,60612,79,116,135
2515629,"Cozy, Quiet, Private bathroom in private room",12877384,Tanya,East Garfield Park,41.88152,-87.69768,Private room,,7,176,2,130,14,east garfield park,60612,40,32,36
2519442,"Warm Cozy Suite, Private Bath, Free Street Parking",7858620,Cynthia,Washington Park,41.79606,-87.62382,Private room,,2,115,1,341,10,washington park,80209,80,80,80
2543231,Private room near Downtown,2850286,Amado,Lower West Side,41.85669,-87.65132,Private room,,32,246,1,135,0,lower west side,60608,65,65,65
2679456,2BD Great Views Modern Luxury  w/POOL,3965428,Dominic,Near South Side,41.85255,-87.62121,Entire home/apt,,120,4,55,365,0,near south side,60616,200,200,200
2695259,Grand Vintage Lincoln Park Penthouse 3 Bedrooms,13793246,Kristi,Lake View,41.93308,-87.6511,Entire home/apt,,1,162,1,0,9,lake view,60657,214,299,257.9403974
2824585,#54-Home away from home- Safe place,13389580,Ed,Dunning,41.9443,-87.79831,Private room,,32,29,2,324,0,dunning,60634,45,45,45
2836339,Stay In the Center w/ Pool Gym Long Term Furnished,3965428,Dominic,Near North Side,41.89098,-87.62238,Entire home/apt,,100,5,55,365,0,near north side,60610,155,155,155
2844042,iKlektik House Chicago / BlueJay,8813383,Mindy + Tony,West Town,41.89288,-87.68458,Entire home/apt,,2,165,3,205,6,west town,60612,160,165,179
2874486,Gorgeous Penthouse with Stunning Views from Private Rooftop,14692157,Ross,West Town,41.90026,-87.66871,Entire home/apt,,2,254,2,189,34,west town,60612,165,171,220
2907500,The Red Room,11231030,Erik,West Lawn,41.78225,-87.72806,Private room,,1,356,2,295,21,west lawn,60652,39,39,39
3031898,Art Collector's Pied-a'-terre,15442332,Karen Sophie,South Shore,41.77206,-87.56982,Entire home/apt,,32,245,1,331,0,south shore,60619,85,85,85
3053081,Relaxed Bucktown/Wicker Park 1B Apt,1368870,Paul,Logan Square,41.91571,-87.67449,Entire home/apt,,2,487,1,116,39,logan square,19103,112,84,107
3068787,Lincoln Square Modern 2 Bed 2 Bath,7780304,Mark And Collette,North Center,41.96136,-87.6784,Entire home/apt,,3,170,1,280,35,north center,60657,174,160,160
3083343,"Splendid Flat w/ Huge Porch, STEPS from 606 Trail",209564,Ami,Logan Square,41.91533279,-87.67047882,Entire home/apt,,2,140,6,51,17,logan square,19103,114,112,236
3172794,LOFT606:  Gigantic Sunlit Former Factory Home,16090300,John,Logan Square,41.91634,-87.69335,Entire home/apt,,1,83,9,359,3,logan square,19103,1093,964,1080
3267902,Ravenswood Guest House Annex,2676165,Richard,Edgewater,41.98908,-87.66697,Entire home/apt,,2,386,1,257,36,edgewater,78248,89,89,89
3292054,The Roscoe House near Wrigley Field,5960265,Courtney And Garrett,Lake View,41.94278,-87.65621,Entire home/apt,,2,269,2,297,43,lake view,60657,263,264,414
3308694,"""The Annex II"" Huge 1,600 Sq foot Apartment",16707041,Matthew,Near West Side,41.88711,-87.6438,Entire home/apt,,2,123,2,127,16,near west side,60612,299,356,299
3385966,Welcome to your 2BD Penthouse,9995028,Chad,Lake View,41.93594,-87.66953,Entire home/apt,,32,190,1,148,3,lake view,60657,178,161,295
3434136,Beautiful West Lakeview location,17217012,Janet,Lake View,41.94159,-87.65099,Private room,,32,178,1,281,3,lake view,60657,75,75,75
3445991,"#55-Clean,Great area. free parking, 24h check in.",13389580,Ed,Dunning,41.94418,-87.79895,Private room,,32,6,2,39,0,dunning,60634,35,35,35
3453656,Private large room with your own bathroom,17405364,Jennifer,Rogers Park,42.00146,-87.66982,Private room,,15,42,3,24,1,rogers park,60626,75,55,54
3517984,Private room w/bath in urban canopy,11294056,Amanda,Hyde Park,41.79963,-87.59186,Private room,,1,450,1,39,58,hyde park,63107,75,76,76
3570616,1 Bedroom Victorian Beauty at Logan Square!,3920450,Vas,Logan Square,41.93047,-87.7196,Entire home/apt,,32,158,4,62,4,logan square,19103,75,72,98
3590692,"Modern, Super-CLEAN, Garden Level  Bedroom 3",12955486,Luke & Ligia,Edgewater,41.99103,-87.66166,Private room,,20,47,3,258,3,edgewater,78248,49,49,49
3638744,Chicago Suite 1BR/1BA (3709-G2),837429,Petru,Irving Park,41.95965,-87.72016,Entire home/apt,,7,46,1,194,0,irving park,60618,69,76,76
3666681,NEW ULTRA LUXURY CONDO RIVER-NORTH Roof-Top Pool,3965428,Dominic,Near North Side,41.88853,-87.63399,Entire home/apt,,90,13,55,365,0,near north side,60610,170,170,170
3696178,Beautiful condo close to the beach,18742622,Barbara,Rogers Park,42.0222,-87.67226,Private room,,2,76,2,222,9,rogers park,60626,68,68,68
3742513,03a. Queen sized in coed room,2907254,Joseph,West Ridge,42.0168,-87.68771,Shared room,,1,162,14,356,12,west ridge,60659,28,17,20
3761023,"Free parking, close to public transit, dining",14015437,Andrew &  Diane,Bridgeport,41.83615,-87.64638,Entire home/apt,,3,85,1,0,13,bridgeport,60616,161.2,80,216.4285714
3783533,"""Home Away from Home"" - Free Street Parking!",19416379,Glenda,Humboldt Park,41.898048,-87.702972,Entire home/apt,,32,363,1,123,8,humboldt park,60651,126,126,126
3792844,Luxury One Bedroom One-Private bathroom on beach,19471032,Alberto,Loop,41.877,-87.63055,Private room,,32,11,1,313,3,loop,60605,55,55,55
3809530,Best location in Chicago! Superhost,19578992,Laura,West Town,41.90173,-87.67359,Entire home/apt,,32,103,3,364,1,west town,60612,257,257,257
3811926,The Blue Room,11231030,Erik,West Lawn,41.78392,-87.72921,Private room,,1,511,2,298,36,west lawn,60652,39,39,39
3897045,Chic and modern - Best location in Chicago,3843347,Andrea,Near North Side,41.89637,-87.62726,Entire home/apt,,32,37,3,0,1,near north side,60610,98,98,121
3953322,Spacious Luxury Townhouse - Old Town,20490917,Robert,Lincoln Park,41.91374,-87.64014,Entire home/apt,,1,201,2,265,25,lincoln park,80204,109,109,109
3962072,SPACIOUS and VERY BRIGHT 2BDR LOFT near DOWNTOWN,20528154,Gabriela,Near West Side,41.88503,-87.68664,Entire home/apt,,3,128,1,310,10,near west side,60612,92,121,136
3979385,Private 3rd Floor Apartment,20624213,Karen,Uptown,41.95669,-87.64847,Entire home/apt,,3,339,2,213,31,uptown,92103,140,140,164
4067870,Casa Corazón (N) near Rush / UIC,1559157,Amanda,Lower West Side,41.84828,-87.68021,Private room,,2,137,3,207,16,lower west side,60608,82,82,82
4083903,"Beautiful, Spacious Historic Greystone Unit.",21178487,Fatimah,Grand Boulevard,41.80392,-87.6108,Entire home/apt,,32,3,1,89,0,grand boulevard,60615,150,150,150
4096995,Spacious Private Room w/ king bed,2880338,Elizabeth,Uptown,41.96264,-87.67296,Private room,,32,34,2,144,4,uptown,92103,35,38,60
4150121,Stunning Chicago Loft Near Wrigley Field,2441500,Lisa,Lake View,41.94987,-87.64611,Entire home/apt,,2,489,1,129,36,lake view,60657,115,121,162
4156913,Near Lake Michigan & Wrigley Field,6874747,Brian,Uptown,41.96705,-87.65772,Entire home/apt,,2,213,1,100,82,uptown,92103,157,255,207
4214683,"Mid City, Vintage, Close to O'Hare Pvt Room",21872907,Tamiz,Irving Park,41.95107,-87.71005,Private room,,3,162,1,215,28,irving park,60618,60,57,62
4243309,Sleek Wrigleyville/Boystown Condo with Rooftop Skyline Views,21924626,Nathan,Lake View,41.94124,-87.64941,Private room,,1,386,2,166,21,lake view,60657,83,99,196
4243905,Historic house in hip Logan Square,22022871,Jill,Logan Square,41.9254,-87.69753,Entire home/apt,,32,53,1,315,3,logan square,19103,250,250,250
4257285,The Stained Glass Apt. Edgewater #2,2915265,Felice,Edgewater,41.99632,-87.66385,Private room,,3,76,2,335,14,edgewater,78248,65,65,65
4365466,01a. Full bed in Shared Space - Female Guests Only,2907254,Joseph,West Ridge,42.01653,-87.68788,Shared room,,1,113,14,175,5,west ridge,60659,28,17,21
4370895,Sun-drenched Vintage Flat with a Lake view,10691960,Kayla,Near North Side,41.90487,-87.62747,Entire home/apt,,32,96,1,178,0,near north side,60610,225,271,329
4394093,Private bed/bath in beautiful home,22810362,Anne,Lake View,41.95518,-87.66999,Private room,,3,36,1,202,2,lake view,60657,100,100,100
4417718,"Cozy, Bright Basement Guest Suite",1096941,Angela,Irving Park,41.96114,-87.70514,Private room,,25,25,1,190,3,irving park,60618,50,50,50
4457161,"Comfy 3BD/1BA, garage spot included",23128169,Jeanne,North Center,41.95931,-87.67795,Entire home/apt,,2,98,1,170,11,north center,60657,199,199,212
4567558,2 Bedrooms are perfect for groups up to 3 guests,2169532,Adam,Irving Park,41.95501,-87.73814,Private room,,32,131,1,90,0,irving park,60618,107,107,107
4592031,UPTOWN ROW HOUSE-SPACIOUS PRIVATE SHARED ROOM(S),23803571,Tomasso,Uptown,41.96574,-87.65747,Private room,,1,140,1,120,13,uptown,92103,100,100,85.33333333
4598631,7 Beds 2 floor Apt : NO Parties,1649647,Bianca,West Town,41.9116,-87.66693,Entire home/apt,,32,307,5,331,0,west town,60612,128,189,308
4632510,Spacious two bedroom with patio!,1563534,Lizzie,West Town,41.90376,-87.69556,Entire home/apt,,32,163,1,151,4,west town,60612,93,91,90
4662201,"Great location, large space",24124115,Syed,West Town,41.900188,-87.661751,Entire home/apt,,32,28,1,318,0,west town,60612,100,100,100
4730797,Home in Vibrant Logan Square,2892101,Justine,Logan Square,41.92125,-87.70158,Private room,,3,128,2,28,15,logan square,19103,57,55,64
4731523,A Cozy Room for Two in Vibrant Logan Square,2892101,Justine,Logan Square,41.92286,-87.70154,Private room,,3,87,2,139,15,logan square,19103,53,56,76
4786970,Large room in Art Gallery ((:,24676863,William,West Town,41.90992,-87.67521,Private room,,32,69,3,302,3,west town,60612,119,119,160
4793938,"2BD/2BA w/ gourmet kitchen, private balcony & more",24705990,Rick,Uptown,41.97106,-87.66777,Hotel room,,3,90,9,173,3,uptown,92103,328,303,173.8158042
4803582,Coach house Wicker Park- Bucktown,24267774,Barbara,West Town,41.90596,-87.67569,Entire home/apt,,32,155,1,365,7,west town,60612,135,135,135
4840199,Luxe 3BD/2BA with Fireplace and Private Balcony,24705990,Rick,Uptown,41.97095,-87.66798,Entire home/apt,,5,33,9,162,6,uptown,92103,429,416,528
4840753,Modern 1BR w/ private balcony and grill,24705990,Rick,Uptown,41.97106,-87.66777,Private room,,3,38,9,154,0,uptown,92103,328,303,110.3333333
4852830,Private bedroom in Lincoln Park,597871,Matt,Lincoln Park,41.91233,-87.65146,Private room,,2,323,1,288,25,lincoln park,80204,120,120,120
4872152,"Simple room, close to trains!",21922655,Angelica,West Town,41.90637,-87.68954,Private room,,1,263,1,14,17,west town,60612,48,49,48
4923963,Charming Brownstone Garden Level,23197213,Doral,Grand Boulevard,41.80944,-87.61664,Entire home/apt,,32,29,3,232,0,grand boulevard,60615,100,100,100
4930338,Beautiful Brownstone Apt.,23197213,Doral,Grand Boulevard,41.81214,-87.61328,Entire home/apt,,32,24,3,275,0,grand boulevard,60615,146,146,146
5074013,Unwind in Style Steps from the Magnificent Mile,10209853,Tatiana & Roupen,Near North Side,41.89295,-87.62217,Entire home/apt,,2,367,2,127,30,near north side,60610,275,275,275
5102125,Private BR in Condo close to Chicago Dwtwn!,10613587,Saurin,West Town,41.89492,-87.65926,Private room,,1,257,5,122,31,west town,60612,74,77,82
5117490,The Entire Floor of a Comfortable & Modern Duplex,1407749,Vladimir,West Town,41.89998,-87.69244,Private room,,32,192,1,165,3,west town,60612,114,114,114
5126218,"Rooftop deck, spacious, comfortable",13228002,Martha,Logan Square,41.92026,-87.67979,Entire home/apt,,32,6,1,31,1,logan square,19103,175,175,175
5185790,"Unique 6,000 Foot Converted Factory",26819996,Jon,West Town,41.8911,-87.66947,Entire home/apt,,32,0,1,364,0,west town,60612,5000,5000,5000
5195252,Room with large private balcony,26874445,Sebastien,West Town,41.90451,-87.67943,Private room,,32,177,2,171,0,west town,60612,55,55,55
5205377,Private room+bath in Wicker Park,26874445,Sebastien,West Town,41.90434,-87.67967,Private room,,32,285,2,265,20,west town,60612,52,55,75
5210927,iKlektik House Chicago / Robin,8813383,Mindy + Tony,West Town,41.89329,-87.68574,Entire home/apt,,2,482,3,185,46,west town,60612,103,91,114
5231461,Modern/Spacious 2BR/2BA West Town,27074701,Charissa,West Town,41.90168,-87.693,Entire home/apt,,3,239,1,301,24,west town,60612,170,170,170
5283285,The Flower Power Room,22215535,Matt,Lower West Side,41.85707,-87.67082,Private room,,32,155,3,41,0,lower west side,60608,25,48.76190476,25
5320006,Casita De Luz,7723412,J,Near West Side,41.86971,-87.65939,Entire home/apt,,50,32,1,9,0,near west side,60612,90,90,90
5321981,Inspiring Studio in Art Gallery,24676863,William,West Town,41.9086,-87.67684,Private room,,32,55,3,57,3,west town,60612,119,119,200
5359984,"3 BR condo with great views, free WIFI and parking",4698713,Mark Y Toñi,West Town,41.89558,-87.66585,Entire home/apt,,3,121,1,182,8,west town,60612,182,171,225
5406217,Urban Luxury 1BR/2BA Logan Square Condo w/Garage,28022926,Bryan,Logan Square,41.92723,-87.70807,Entire home/apt,,2,237,1,299,20,logan square,19103,175,182,200
5496659,Beige room area South Shore Airbnb,28501460,Delia,South Shore,41.76477,-87.57182,Private room,,32,104,7,122,2,south shore,60619,20,20,20
5537682,The Rectory,28715964,David,Lincoln Park,41.92032,-87.66153,Entire home/apt,,2,256,2,196,32,lincoln park,80204,191,217,224
5537683,The Chapel: Great family spot,28715964,David,Lincoln Park,41.92061,-87.66324,Entire home/apt,,2,244,2,207,22,lincoln park,80204,178,203,275
5571262,Sunny Tri Level,12549865,Holly,West Town,41.89738,-87.67208,Entire home/apt,,3,147,1,224,26,west town,60612,246,231,321
5576190,South Shore Bungalow - Rust Red Work Out Room,28501460,Delia,South Shore,41.76302,-87.57186,Private room,,32,59,7,308,0,south shore,60619,22,25,25
5576191,South Shore bungalow - Yellow Room,28501460,Delia,South Shore,41.76257,-87.57225,Private room,,32,37,7,299,1,south shore,60619,30,30,26
5645139,Vintage Uptown Loft with Queen Bed & Private Bath,13195824,Amy,Uptown,41.97188,-87.65779,Private room,,3,208,1,329,17,uptown,92103,92,115,102
